_id,name,address,location.type,location.coordinates[0],location.coordinates[1],contactInfo.phone,contactInfo.email,googleMapsLink,services[0],services[1],services[2],services[3],services[4],services[5],services[6],services[7],services[8],services[9],capacity,operatingHours,eligibility,notes,contactInfo.website,website,contanctInfo.phone
6841e964f5d19498f56c4bdc,HRA Men's Shelter,"400 E 30th St, New York, NY 10016",Point,-73.97432106518562,40.74083067874544,(718)-557-1399,contact@hoperespite.org,"https://www.google.com/maps/place/HRA+Men's+Shelter/@40.7410364,-73.9759372,543m/data=!3m1!1e3!4m6!3m5!1s0x89c2590ef236310d:0x1b562ee092fd145!8m2!3d40.74066!4d-73.9747073!16s%2Fg%2F1262z6czc?entry=ttu&g_ep=EgoyMDI1MDUxNS4xIKXMDSoASAFQAw%3D%3D",Emergency Shelter,Meals,Medical Assistance,Adult Shelter,,,,,,,120,24/7,Single adults,Provides emergency overnight shelter and basic medical care.,,,
6841e964f5d19498f56c4bdd,Staten Island Family Support,"456 Victory Blvd, Staten Island, NY 10301",Point,-74.09,40.63,(718) 555-0707,,,Family Resources,Housing Assistance,Counseling,Food Pantry,,,,,,,30,"Mon-Fri, 9 AM - 6 PM","Families with children, Staten Island residents",Focuses on housing stability and support services for families.,http://sifamilysupport.org,,
6841e964f5d19498f56c4bde,Manhattan Drop-In Center,"55 Lexington Ave, New York, NY 10010",Point,-73.983,40.74,,dropin@manhattanservices.org,,Day Center,Showers,Laundry,Referral Services,Case Management,,,,,,,"Daily, 7 AM - 7 PM",All adults,Day center providing essential services and connections to further help. No overnight beds.,,,
6841e964f5d19498f56c4bdf,Willow Ave Shelter,"781 E 135th St, Bronx, NY 10454",Point,-73.91251767781407,40.80377646624311,(914) 345-2800,mail@westhab.org,,Real Estate Development,Transitional Housing,Permanent Housing,Employment Services,Youth Services,,,,,,,24/7,Anyone Welcome,Transforming communities by developing high-quality affordable housing and delivering the services people and neighborhoods need to thrive.,,https://www.westhab.org/,
6841e964f5d19498f56c4be0,Jackson Avenue Family Residence,"691 E 138th St, Bronx, NY 10454",Point,-73.91350764752418,40.808157479570575,(718) 993-8900,,"https://www.google.com/maps/place/Jackson+Avenue+Family+Residence/@40.8055795,-73.9160044,714m/data=!3m2!1e3!4b1!4m6!3m5!1s0x89c2f5c01734d0d1:0xdd66269c28a0e1af!8m2!3d40.8055755!4d-73.9134295!16s%2Fg%2F1v29cz86?entry=ttu&g_ep=EgoyMDI1MDUxNS4xIKXMDSoASAFQAw%3D%3D",Soup kitchens,SROs,Shelters,Drop-in centers,Street outreach programs,,,,,,,24/7,Anyone Welcome,"Provides critical health care on the front lines, care where homeless individuals and families congregate, partners with host locations such as shelters and soup kitchens,",,,
6841e964f5d19498f56c4be1,New York City Homeless Shelter,"346 Powers Ave, Bronx, NY 10454",Point,-73.91230601784878,40.81127574646095,(212) 361 7971,,"https://www.google.com/maps/place/New+York+City+Homeless+Shelter/@40.8093918,-73.9638044,11428m/data=!3m1!1e3!4m6!3m5!1s0x89c2f5bf5b9432b7:0xfcbb9cd80477177f!8m2!3d40.8078228!4d-73.9117935!16s%2Fg%2F1v2f1fz3?entry=ttu&g_ep=EgoyMDI1MDUxNS4xIKXMDSoASAFQAw%3D%3D",Shelter,etc...,,,,,,,,,,Unknown,Unknown,Not much information on specific shelter,,,
6841e964f5d19498f56c4be2,The Living Room,"800 Barretto St, Bronx, NY 10474",Point,-73.88970851665131,40.820329258836445,(646) 393-4000,,,All inclusive homeless services,Benefits and other assistances,Health & wellness,Education and youth development,Eviction and other prevention services,Immigration services,Legal services,Elderly services,Supportive Housing,Workforce development,,24/7,Anyone welcome,"Helps individuals and families improve their economic and social well-being, as well as feeding, sheltering, teaching, and supporting Bronx residents to build a stronger community.",,https://bronxworks.org/,
6841e964f5d19498f56c4be3,St Anthony Shelter for Renewal,"410 E 156th St, Bronx, NY 10455",Point,-73.91511440044036,40.823812299016765,(718) 993-5161,,,Showers,food,Individual rooming,Substance abuse renewal,Other personal crises,Personal guidance,,,,,,7 days a week 9 AM - 9:30 PM,Adult men,"Private, non-profit overnight shelter in the South Bronx for men who are over 18 years of age and clean of drugs and alcohol. Offers them the guidance they need to rebuild their life.",,https://stanthonyshelter.org/,
6841e964f5d19498f56c4be4,The Bowery Mission - Flagship Campus,"227 Bowery, New York, NY 10002",Point,-73.9925,40.721,(212) 674-3456,,,Emergency Shelter,Meals,Medical Care,Job Training,Spiritual Support,,,,,,,24/7,All welcome,Provides comprehensive services to homeless and low-income individuals in New York City.,,https://www.bowery.org/,
6841e964f5d19498f56c4be5,"The Doe Fund - Ready, Willing & Able","345 E 102nd St, New York, NY 10001",Point,-73.94268735980705,40.79145702464779,(212) 628-5207,info@doe.org,,Job Training,Housing Assistance,Substance Abuse Treatment,,,,,,,,,Mon-Fri 9 AM - 5 PM,Adults 18+,Focuses on helping individuals transition from homelessness to self-sufficiency.,,https://www.doe.org/,
6841e964f5d19498f56c4be6,Project Renewal Inc.,"200 Varick St, New York, NY 10014",Point,-74.00629228856141,40.7318605106358,(212) 620-0340,,,Emergency Shelter,Substance Abuse Treatment,Job Training,Health Services,,,,,,,,24/7,Adults 18+,Provides a comprehensive range of services to help homeless individuals rebuild their lives.,,https://www.projectrenewal.org/,
6841ea27f5d19498f56c4be7,Coalition for the Homeless,"129 Fulton St, New York, NY 10038",Point,-74.00736031678777,40.710363063070396,(212) 776-2000,INFO@CFTHOMELESS.ORG,,Advocacy,Emergency Shelter,Food Programs,Job Training,,,,,,,,Mon-Fri 9 AM - 5 PM,All welcome,Advocates for policies to end homelessness and provides essential services to those in need.,,https://www.coalitionforthehomeless.org/,
6841f485f5d19498f56c4be8,Queens Community House,"101-01 Rockaway Blvd, Jamaica, NY 11417",Point,-73.83666964257971,40.68164065075341,(718) 592-5757,info@qchnyc.org,,Emergency Shelter,Housing Assistance,Youth Programs,Food Pantry,,,,,,,,Mon-Fri 9 AM - 5 PM,All welcome,"Provides a wide range of services to help individuals and families in Queens, including emergency shelter and housing assistance.",,https://www.qchnyc.org,
6841f7c4f5d19498f56c4be9,Brooklyn Community Services,"151 Lawrence St 4th floor, Brooklyn, NY 11201",Point,-73.98578950676142,40.693034329949086,(718) 310-5600,info@wearebcs.org,,Emergency Shelter,Youth Services,Family Support & Workforce Development,Homelessness Solutions,Disability Services,,,,,,,Mon-Fri 9 AM - 5 PM,All welcome,"Provides a range of services to help individuals and families in Brooklyn, including emergency shelter and youth programs.",,https://www.wearebcs.org,
6841f977f5d19498f56c4bea,BronxWorks,"1130 Grand Concourse, Bronx, NY 10456",Point,-73.91878292597457,40.83578639121195,(646) 939-4000,,,All inclusive homeless services,Benefits and other assistances,Health & wellness,Education and youth development,Eviction and other prevention services,Immigration services,Legal services,Elderly services,Supportive Housing,Workforce development,,24/7,Anyone welcome,"Helps individuals and families improve their economic and social well-being, as well as feeding, sheltering, teaching, and supporting Bronx residents to build a stronger community.",,https://bronxworks.org/,
6841fb79f5d19498f56c4beb,Win Shelter,"4612 Glenwood Rd, Brooklyn, NY 11234",Point,-73.9319491599627,40.63629499994466,(718) 975-6886,,"https://www.google.com/maps/place/Win+Shelter/@40.6339498,-73.9317552,716m/data=!3m2!1e3!4b1!4m6!3m5!1s0x89c25ca96ec0e849:0x4dcd2baf84ee31!8m2!3d40.6339498!4d-73.9317552!16s%2Fg%2F11b6t2cllg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMy4wIKXMDSoASAFQAw%3D%3D",Emergency Shelter,Housing Assistance,,,,,,,,,,24/7,Families with children,Provides emergency shelter and support services for families experiencing homelessness.,,,
6841fd8ef5d19498f56c4bec,Atlantic House Men's Shelter,"2402 Atlantic Ave, Brooklyn, NY 11233",Point,-73.90509740012065,40.6765102886834,(718) 385-8713,stephanies@camba.org,,Emergency Shelter,Mental Illness Services,Substance Abuse Treatment,,,,,,,,,24/7,Single Men,Provides emergency shelter and support services for single men experiencing homelessness.,,https://www.nyc.gov/assets/donate/site/Directory/Details/409/465,
684201ebf5d19498f56c4bed,HELP Women's Shelter,"116 Williams Ave, Brooklyn, NY 11207",Point,-73.90020554562578,40.67349556596354,(718) 483-7700,,"https://www.google.com/maps/place/HELP+Women%E2%80%99s+Shelter/@40.6732237,-73.9028192,1426m/data=!3m2!1e3!5s0x89c25c500bfe92c1:0xc38e404586354a2d!4m6!3m5!1s0x89c25dd34271ad67:0x5e80423567f4644!8m2!3d40.673223!4d-73.900227!16s%2Fg%2F11h39flyc3?entry=ttu&g_ep=EgoyMDI1MDYwMi4wIKXMDSoASAFQAw%3D%3D",Emergency Shelter,Case Management,Employment Services,Women's Health Services,,,,,,,,24/7,Women,Provides emergency shelter and support services for women experiencing homelessness.,,,
68420494f5d19498f56c4bee,Samaritan Village Forbell,"338 Forbell St, Brooklyn, NY 11208",Point,-73.8634130322616,40.67432358010349,(929) 244-1456,,,Emergency Shelter,Substance Abuse Treatment,Mental Health Services,Family Support,Housing Assistance,Veterans Services,,,,,,24/7,"Families, Veterans, Individuals with Substance Abuse Issues","Provides a range of services to support individuals and families experiencing homelessness, including emergency shelter and substance abuse treatment.",,http://www.samaritanvillage.org/people-we-serve/homeless-new-yorkers,
